Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Clock,EngineFactory,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,_string1,_string2,Mean,Error,StdDev
StandardEqualityUpper,Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,I am an aardvark,I Am an AARDVARK,319.606 ns,3.7076 ns,2.8946 ns
StandardEqualityLower,Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,I am an aardvark,I Am an AARDVARK,302.285 ns,2.5274 ns,2.1105 ns
StandardEqualsOrdinalIgnoreCase,Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,I am an aardvark,I Am an AARDVARK,45.049 ns,0.1980 ns,0.1654 ns
StandardEqualsCurrentCultureIgnoreCase,Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,I am an aardvark,I Am an AARDVARK,161.694 ns,1.8390 ns,1.7202 ns
StandardCompareIgnoreCase,Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,I am an aardvark,I Am an AARDVARK,157.725 ns,2.0446 ns,1.9126 ns
StandardIndexOfOrdinalIgnoreCase,Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,I am an aardvark,I Am an AARDVARK,146.288 ns,0.9208 ns,0.8162 ns
StandardEqualityUpper,Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,I am an aardvark,Test2,271.607 ns,2.1348 ns,1.9969 ns
StandardEqualityLower,Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,I am an aardvark,Test2,280.052 ns,2.0334 ns,1.9020 ns
StandardEqualsOrdinalIgnoreCase,Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,I am an aardvark,Test2,4.631 ns,0.0734 ns,0.0686 ns
StandardEqualsCurrentCultureIgnoreCase,Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,I am an aardvark,Test2,100.359 ns,0.3625 ns,0.3214 ns
